N,종목명,현재가,전일비,등락률,액면가,시가총액,상장주식수,외국인비율,거래량,PER,ROE
1,삼성전자,"77,000",400,-0.52%,100,"4,596,733","5,969,783",51.99,"4,520,333",14.93,9.99,
2,SK하이닉스,"125,000",500,-0.40%,"5,000","910,003","728,002",49.11,"1,371,586",11.30,9.53,
3,삼성전자우,"70,500",900,-1.26%,100,"580,135","822,887",74.63,"337,160",13.67,N/A,
4,삼성바이오로직스,"859,000","2,000",-0.23%,"2,500","568,357","66,165",10.91,"16,165",138.46,N/A,
5,NAVER,"345,000","10,000",-2.82%,100,"565,969","164,049",56.00,"304,801",3.42,15.22,
6,LG화학,"667,000","3,000",+0.45%,"5,000","470,851","70,592",47.20,"237,913",17.38,2.93,
7,현대차,"214,500","1,000",+0.47%,"5,000","458,318","213,668",28.34,"261,503",10.87,2.04,
8,삼성SDI,"653,000","5,000",+0.77%,"5,000","449,032","68,765",45.46,"96,174",40.96,4.54,
9,카카오,"100,500","5,000",-4.74%,100,"448,014","445,785",30.52,"2,982,502",39.57,2.70,
10,기아,"85,500",400,-0.47%,"5,000","346,586","405,363",35.30,"526,299",7.75,5.05,
11,POSCO,"302,500","7,000",+2.37%,"5,000","263,740","87,187",52.53,"344,293",4.53,3.61,
12,카카오뱅크,"55,300",300,-0.54%,"5,000","262,763","475,159",16.99,"658,096",178.96,5.08,
13,현대모비스,"269,000","12,000",+4.67%,"5,000","254,402","94,573",34.19,"554,435",10.83,4.66,
14,셀트리온,"183,500","4,000",-2.13%,"1,000","253,133","137,947",19.93,"292,760",46.69,16.68,
15,KB금융,"56,300",300,-0.53%,"5,000","234,100","415,808",69.60,"280,826",5.38,8.53,
16,SK이노베이션,"251,500",500,+0.20%,"5,000","232,551","92,466",23.42,"185,830","-7,397.06",-13.58,
17,LG전자,"136,500","2,000",-1.44%,"5,000","223,379","163,648",28.91,"329,089",19.69,13.23,
18,삼성물산,"116,000","1,500",-1.28%,100,"216,789","186,887",15.36,"64,354",13.20,3.81,
19,카카오페이,"153,000","5,000",-3.16%,500,"201,781","131,883",42.77,"107,887",-761.19,-17.97,
20,크래프톤,"403,000","14,000",-3.36%,100,"197,337","48,967",30.34,"125,978",31.59,61.86,
21,신한지주,"37,700",200,+0.53%,"5,000","194,758","516,600",60.42,"440,736",5.00,8.20,
22,SK,"247,000","4,500",-1.79%,200,"183,149","74,149",21.65,"77,648",28.87,1.11,
23,LG생활건강,"1,084,000","9,000",+0.84%,"5,000","169,301","15,618",42.99,"15,340",22.56,17.92,
24,SK바이오사이언스,"205,000","11,500",-5.31%,500,"156,825","76,500",5.70,"357,605",78.94,13.25,
25,삼성전기,"186,500","3,500",-1.84%,"5,000","139,304","74,694",30.78,"266,504",14.34,10.92,
26,한국전력,"21,650",150,-0.69%,"5,000","138,985","641,964",14.62,"398,691",-12.76,2.91,
27,엔씨소프트,"613,000","12,000",-1.92%,500,"134,578","21,954",44.24,"67,277",37.85,20.83,
28,삼성생명,"66,100",400,+0.61%,500,"132,200","200,000",12.35,"114,059",8.45,3.53,
29,HMM,"26,650",800,-2.91%,"5,000","130,329","489,039",10.58,"870,285",3.36,8.93,
30,하나금융지주,"43,100",100,+0.23%,"5,000","129,404","300,242",67.75,"311,506",4.03,8.96,
31,LG,"81,100",300,-0.37%,"5,000","127,571","157,301",36.05,"178,121",5.35,7.50,
32,SK텔레콤,"57,900",400,-0.69%,100,"126,704","218,833",44.78,"277,936",8.98,6.44,
33,하이브,"302,500","11,500",-3.66%,500,"125,094","41,353",16.44,"164,467",107.61,12.52,
34,삼성에스디에스,"150,500","2,500",-1.63%,500,"116,454","77,378",11.26,"50,248",17.14,6.71,
35,KT&G,"79,000",500,+0.64%,"5,000","108,461","137,292",35.37,"114,817",9.11,13.22,
36,SK아이이테크놀로지,"151,000","1,500",-0.98%,"1,000","107,659","71,298",11.45,"117,448",99.28,11.00,
37,두산중공업,"20,300",450,-2.17%,"5,000","105,780","521,084",8.71,"836,412",60.24,-37.20,
38,포스코케미칼,"136,500","1,500",-1.09%,500,"105,737","77,463",6.17,"101,339",76.21,2.96,
39,S-Oil,"91,200","1,000",+1.11%,"2,500","102,676","112,583",77.77,"159,217",8.78,-13.07,
